time (seconds); Text; 
1292274339; "LOST;-1.000000"; 
1292274343; "LOST;-1.000000"; 
1292274346; "LOST;-1.000000"; 
1292274349; "LOST;-1.000000"; 
1292274353; "LOST;-1.000000"; 
1292274356; "LOST;-1.000000"; 
1292274359; "LOST;-1.000000"; 
1292274362; "LOST;-1.000000"; 
1292274366; "LOST;-1.000000"; 
1292274369; "LOST;-1.000000"; 
1292274372; "WON;0.100000"; 
1292274375; "WON;0.100000"; 
1292274379; "WON;0.100000"; 
1292274382; "LOST;-0.100000"; 
1292274385; "WON;0.100000"; 
1292274388; "LOST;-0.100000"; 
1292274392; "LOST;-0.100000"; 
1292274395; "WON;0.100000"; 
1292274398; "WON;0.100000"; 
1292274401; "WON;0.100000"; 
1292274405; "LOST;-1.000000"; 
1292274410; "LOST;-1.000000"; 
1292274414; "LOST;-1.000000"; 
1292274418; "LOST;-1.000000"; 
1292274422; "LOST;-1.000000"; 
1292274427; "LOST;-1.000000"; 
1292274430; "LOST;-1.000000"; 
1292274434; "LOST;-1.000000"; 
1292274438; "LOST;-1.000000"; 
1292274443; "LOST;-1.000000"; 
1292274446; "LOST;-1.000000"; 
1292274450; "LOST;-1.000000"; 
1292274454; "LOST;-1.000000"; 
1292274458; "LOST;-1.000000"; 
1292274461; "LOST;-1.000000"; 
1292274465; "LOST;-1.000000"; 
1292274469; "LOST;-1.000000"; 
1292274473; "LOST;-1.000000"; 
1292274477; "LOST;-1.000000"; 
1292274481; "LOST;-1.000000"; 
1292274484; "LOST;-1.000000"; 
1292274487; "LOST;-1.000000"; 
1292274490; "LOST;-1.000000"; 
1292274493; "LOST;-1.000000"; 
1292274496; "LOST;-1.000000"; 
1292274499; "LOST;-1.000000"; 
1292274503; "LOST;-1.000000"; 
1292274506; "LOST;-1.000000"; 
1292274509; "LOST;-1.000000"; 
1292274512; "LOST;-1.000000"; 
1292274515; "LOST;-0.100000"; 
1292274518; "LOST;0.000000"; 
1292274521; "WON;0.100000"; 
1292274524; "WON;0.100000"; 
1292274527; "LOST;-0.100000"; 
1292274531; "WON;0.100000"; 
1292274534; "WON;0.100000"; 
1292274537; "LOST;-0.100000"; 
1292274540; "WON;0.100000"; 
1292274543; "WON;0.100000"; 
1292274546; "WON;0.100000"; 
1292274549; "WON;0.100000"; 
1292274552; "WON;0.100000"; 
1292274556; "WON;0.100000"; 
1292274559; "WON;0.100000"; 
1292274562; "WON;0.250000"; 
1292274565; "WON;0.100000"; 
1292274568; "WON;0.100000"; 
1292274571; "LOST;-0.100000"; 
1292274574; "WON;0.100000"; 
1292274577; "WON;0.100000"; 
1292274581; "WON;0.100000"; 
1292274584; "LOST;-0.100000"; 
1292274587; "WON;0.100000"; 
1292274590; "WON;0.100000"; 
1292274593; "LOST;-0.100000"; 
1292274596; "LOST;0.000000"; 
1292274599; "LOST;-0.100000"; 
1292274602; "LOST;-0.100000"; 
1292274606; "WON;0.100000"; 
1292274776; "LOST;-0.900000"; 
1292274780; "LOST;-1.000000"; 
1292274784; "LOST;-1.000000"; 
1292274788; "LOST;-1.000000"; 
1292274792; "LOST;-1.000000"; 
1292274795; "LOST;-1.000000"; 
1292274799; "LOST;-1.000000"; 
1292274803; "LOST;-1.000000"; 
1292274807; "LOST;-1.000000"; 
1292274811; "LOST;-1.000000"; 
1292274814; "WON;0.100000"; 
1292274817; "WON;0.100000"; 
1292274820; "WON;0.100000"; 
1292274823; "WON;0.100000"; 
1292274826; "WON;0.100000"; 
1292274830; "LOST;-0.100000"; 
1292274833; "LOST;-0.100000"; 
1292274836; "LOST;-0.100000"; 
1292274839; "WON;0.100000"; 
1292274842; "LOST;-0.100000"; 
1292274845; "WON;0.100000"; 
1292274849; "LOST;-0.100000"; 
1292274852; "LOST;-0.100000"; 
1292274855; "WON;0.100000"; 
1292274858; "WON;0.100000"; 
1292274861; "WON;0.100000"; 
1292274864; "LOST;-0.100000"; 
1292274867; "WON;0.100000"; 
1292274870; "LOST;-0.250000"; 
1292274874; "WON;0.100000"; 
1292274877; "WON;0.100000"; 
