time (seconds); Text; 
1292268005; "LOST|lowest=[1], biggest=[1]"; 
1292268009; "LOST|lowest=[1], biggest=[1]"; 
1292268013; "LOST|lowest=[1], biggest=[1]"; 
1292268018; "LOST|lowest=[1], biggest=[1]"; 
1292268022; "LOST|lowest=[1], biggest=[1]"; 
1292268026; "LOST|lowest=[1], biggest=[1]"; 
1292268030; "LOST|lowest=[1], biggest=[1]"; 
1292268034; "LOST|lowest=[1], biggest=[1]"; 
1292268038; "LOST|lowest=[1], biggest=[1]"; 
1292268042; "LOST|lowest=[1], biggest=[1]"; 
1292268046; "LOST|lowest=[1], biggest=[1]"; 
1292268049; "LOST|lowest=[1], biggest=[1]"; 
1292268053; "LOST|lowest=[1], biggest=[1]"; 
1292268057; "LOST|lowest=[1], biggest=[1]"; 
1292268062; "LOST|lowest=[1], biggest=[1]"; 
1292268066; "LOST|lowest=[1], biggest=[1]"; 
1292268070; "LOST|lowest=[1], biggest=[1]"; 
1292268074; "LOST|lowest=[1], biggest=[1]"; 
1292268078; "LOST|lowest=[1], biggest=[1]"; 
1292268082; "LOST|lowest=[1], biggest=[1]"; 
1292268086; "LOST|lowest=[0], biggest=[2]"; 
1292268089; "LOST|lowest=[0], biggest=[2]"; 
1292268092; "LOST|lowest=[0], biggest=[2]"; 
1292268095; "LOST|lowest=[0], biggest=[2]"; 
1292268099; "LOST|lowest=[0], biggest=[2]"; 
1292268102; "LOST|lowest=[0], biggest=[2]"; 
1292268105; "LOST|lowest=[0], biggest=[2]"; 
1292268108; "LOST|lowest=[0], biggest=[2]"; 
1292268112; "LOST|lowest=[0], biggest=[2]"; 
1292268115; "LOST|lowest=[0], biggest=[2]"; 
1292268119; "LOST|lowest=[1], biggest=[1]"; 
1292268123; "LOST|lowest=[1], biggest=[1]"; 
1292268127; "LOST|lowest=[1], biggest=[1]"; 
1292268131; "LOST|lowest=[1], biggest=[1]"; 
1292268135; "LOST|lowest=[1], biggest=[1]"; 
1292268139; "LOST|lowest=[1], biggest=[1]"; 
1292268143; "LOST|lowest=[1], biggest=[1]"; 
1292268148; "LOST|lowest=[1], biggest=[1]"; 
1292268152; "LOST|lowest=[1], biggest=[1]"; 
1292268156; "LOST|lowest=[1], biggest=[1]"; 
1292268160; "LOST|lowest=[1], biggest=[1]"; 
1292268164; "LOST|lowest=[1], biggest=[1]"; 
1292268168; "LOST|lowest=[1], biggest=[1]"; 
1292268172; "LOST|lowest=[1], biggest=[1]"; 
1292268176; "LOST|lowest=[1], biggest=[1]"; 
1292268180; "LOST|lowest=[1], biggest=[1]"; 
1292268184; "LOST|lowest=[1], biggest=[1]"; 
1292268188; "LOST|lowest=[1], biggest=[1]"; 
1292268192; "LOST|lowest=[1], biggest=[1]"; 
1292268196; "LOST|lowest=[1], biggest=[1]"; 
1292268199; "LOST|lowest=[0], biggest=[0]"; 
1292268203; "LOST|lowest=[0], biggest=[0]"; 
