time (seconds); Text; 
1292281431; "LOST;-1.000000"; 
1292281435; "LOST;-1.000000"; 
1292281440; "LOST;-1.000000"; 
1292281443; "LOST;-1.000000"; 
1292281447; "LOST;-1.000000"; 
1292281451; "LOST;-1.000000"; 
1292281455; "LOST;-1.000000"; 
1292281459; "LOST;-1.000000"; 
1292281462; "LOST;-1.000000"; 
1292281466; "LOST;-1.000000"; 
1292281470; "LOST;-1.000000"; 
1292281474; "LOST;-1.000000"; 
1292281478; "LOST;-1.000000"; 
1292281482; "LOST;-1.000000"; 
1292281486; "LOST;-1.000000"; 
1292281490; "LOST;-1.000000"; 
1292281494; "LOST;-1.000000"; 
1292281498; "LOST;-1.000000"; 
1292281502; "LOST;-1.000000"; 
1292281506; "LOST;-1.000000"; 
1292281509; "LOST;-1.000000"; 
1292281513; "LOST;-1.000000"; 
1292281516; "LOST;-1.000000"; 
1292281519; "LOST;-1.000000"; 
1292281522; "LOST;-1.000000"; 
1292281525; "LOST;-1.000000"; 
1292281528; "LOST;-1.000000"; 
1292281532; "LOST;-1.000000"; 
1292281535; "LOST;-1.000000"; 
1292281538; "LOST;-1.000000"; 
1292281542; "LOST;-1.000000"; 
1292281546; "LOST;-1.000000"; 
1292281550; "LOST;-1.000000"; 
1292281553; "LOST;-1.000000"; 
1292281557; "LOST;-1.000000"; 
1292281561; "LOST;-1.000000"; 
1292281565; "LOST;-1.000000"; 
1292281569; "LOST;-1.000000"; 
1292281574; "LOST;-1.000000"; 
1292281578; "LOST;-1.000000"; 
1292281581; "LOST;-1.000000"; 
1292281584; "LOST;-1.000000"; 
1292281588; "LOST;-1.000000"; 
1292281591; "LOST;-1.000000"; 
1292281594; "LOST;-1.000000"; 
1292281597; "LOST;-1.000000"; 
1292281600; "LOST;-1.000000"; 
1292281604; "LOST;-1.000000"; 
1292281607; "LOST;-1.000000"; 
1292281610; "LOST;-1.000000"; 
1292281613; "LOST;-0.100000"; 
1292281616; "WON;0.100000"; 
1292281620; "LOST;-0.100000"; 
1292281623; "LOST;-0.100000"; 
1292281626; "LOST;-0.100000"; 
1292281629; "WON;0.100000"; 
1292281632; "LOST;-0.100000"; 
1292281636; "LOST;-0.100000"; 
1292281639; "WON;0.100000"; 
1292281642; "LOST;-0.100000"; 
1292281801; "LOST;-0.600000"; 
1292281806; "LOST;-1.000000"; 
1292281810; "LOST;-1.000000"; 
1292281814; "LOST;-1.000000"; 
1292281818; "LOST;-1.000000"; 
1292281822; "LOST;-1.000000"; 
1292281826; "LOST;-1.000000"; 
1292281830; "LOST;-1.000000"; 
1292281834; "LOST;-1.000000"; 
1292281838; "LOST;-1.000000"; 
1292281841; "WON;0.100000"; 
1292281844; "WON;0.100000"; 
1292281848; "WON;0.100000"; 
1292281851; "WON;0.100000"; 
1292281854; "WON;0.100000"; 
1292281858; "WON;0.100000"; 
1292281861; "WON;0.250000"; 
1292281864; "LOST;-0.100000"; 
1292281867; "LOST;-0.100000"; 
1292281871; "WON;0.100000"; 
1292281875; "LOST;-0.100000"; 
1292281878; "WON;0.100000"; 
1292281881; "LOST;0.000000"; 
1292281884; "WON;0.100000"; 
1292281888; "LOST;-0.100000"; 
1292281891; "LOST;0.000000"; 
1292281894; "WON;0.100000"; 
1292281898; "LOST;0.000000"; 
1292281901; "LOST;-0.100000"; 
1292281904; "WON;0.100000"; 
1292281908; "LOST;-1.000000"; 
1292281912; "LOST;-1.000000"; 
1292281916; "LOST;-1.000000"; 
1292281920; "LOST;-1.000000"; 
1292281924; "LOST;-1.000000"; 
1292281928; "LOST;-1.000000"; 
1292281931; "LOST;-1.000000"; 
1292281935; "LOST;-1.000000"; 
1292281939; "LOST;-1.000000"; 
1292281943; "LOST;-1.000000"; 
1292281946; "WON;0.100000"; 
1292281950; "WON;0.100000"; 
1292281953; "WON;0.100000"; 
1292281956; "LOST;-0.100000"; 
1292281959; "LOST;-0.100000"; 
1292281963; "LOST;0.000000"; 
1292281966; "WON;0.100000"; 
1292281969; "LOST;-0.100000"; 
1292281972; "WON;0.100000"; 
1292281976; "LOST;-0.100000"; 
1292281980; "LOST;-1.000000"; 
1292281984; "LOST;-1.000000"; 
1292281988; "LOST;-1.000000"; 
1292281992; "LOST;-1.000000"; 
1292281995; "LOST;-1.000000"; 
1292282000; "LOST;-1.000000"; 
1292282004; "LOST;-1.000000"; 
1292282008; "LOST;-1.000000"; 
1292282012; "LOST;-1.000000"; 
1292282016; "LOST;-1.000000"; 
1292282019; "LOST;-1.000000"; 
1292282022; "LOST;-1.000000"; 
1292282025; "LOST;-1.000000"; 
1292282029; "LOST;-1.000000"; 
1292282032; "LOST;-1.000000"; 
1292282035; "LOST;-1.000000"; 
1292282039; "LOST;-1.000000"; 
1292282042; "LOST;-1.000000"; 
1292282045; "LOST;-1.000000"; 
1292282048; "LOST;-1.000000"; 
1292282052; "LOST;-1.000000"; 
1292282056; "LOST;-1.000000"; 
1292282060; "LOST;-1.000000"; 
1292282064; "LOST;-1.000000"; 
1292282068; "LOST;-1.000000"; 
1292282072; "LOST;-1.000000"; 
1292282077; "LOST;-1.000000"; 
1292282082; "LOST;-1.000000"; 
1292282086; "LOST;-1.000000"; 
1292282090; "LOST;-1.000000"; 
1292282094; "LOST;-1.000000"; 
1292282272; "LOST;-0.900000"; 
1292282276; "LOST;-1.000000"; 
1292282280; "LOST;-1.000000"; 
1292282284; "LOST;-1.000000"; 
1292282288; "LOST;-1.000000"; 
1292282292; "LOST;-1.000000"; 
1292282296; "LOST;-1.000000"; 
1292282300; "LOST;-1.000000"; 
1292282304; "LOST;-1.000000"; 
1292282308; "LOST;-1.000000"; 
1292282312; "LOST;-1.000000"; 
1292282316; "LOST;-1.000000"; 
1292282320; "LOST;-1.000000"; 
1292282324; "LOST;-1.000000"; 
1292282328; "LOST;-1.000000"; 
