time (seconds); Text; 
1292284389; "LOST;-1.000000"; 
1292284392; "LOST;-1.000000"; 
1292284396; "LOST;-1.000000"; 
1292284400; "LOST;-1.000000"; 
1292284404; "LOST;-1.000000"; 
1292284407; "LOST;-1.000000"; 
1292284411; "LOST;-1.000000"; 
1292284415; "LOST;-1.000000"; 
1292284419; "LOST;-1.000000"; 
1292284423; "LOST;-1.000000"; 
1292284427; "LOST;-1.000000"; 
1292284431; "LOST;-1.000000"; 
1292284435; "LOST;-1.000000"; 
1292284439; "LOST;-1.000000"; 
1292284444; "LOST;-1.000000"; 
1292284448; "LOST;-1.000000"; 
1292284452; "LOST;-1.000000"; 
1292284456; "LOST;-1.000000"; 
1292284460; "LOST;-1.000000"; 
1292284469; "LOST;-1.000000"; 
1292284473; "WON;0.100000"; 
1292284476; "WON;0.100000"; 
1292284479; "WON;0.100000"; 
1292284483; "LOST;0.000000"; 
1292284486; "WON;0.100000"; 
1292284489; "LOST;0.000000"; 
1292284492; "WON;0.100000"; 
1292284496; "LOST;-0.100000"; 
1292284499; "WON;0.100000"; 
1292284502; "WON;0.100000"; 
1292284506; "LOST;-0.100000"; 
1292284509; "LOST;-0.100000"; 
1292284512; "WON;0.100000"; 
1292284515; "LOST;-0.250000"; 
1292284519; "LOST;0.000000"; 
1292284522; "WON;0.100000"; 
1292284525; "LOST;-0.100000"; 
1292284529; "LOST;-0.100000"; 
1292284532; "WON;0.100000"; 
1292284535; "LOST;-0.100000"; 
1292284539; "LOST;-0.850000"; 
1292284542; "LOST;-0.850000"; 
1292284546; "LOST;-0.700000"; 
1292284550; "LOST;-0.700000"; 
1292284553; "LOST;-0.700000"; 
1292284557; "LOST;-0.700000"; 
1292284561; "LOST;-0.700000"; 
1292284565; "LOST;-1.000000"; 
1292284568; "LOST;-0.700000"; 
1292284572; "LOST;-0.850000"; 
1292284576; "LOST;-1.000000"; 
1292284579; "LOST;-1.000000"; 
1292284582; "LOST;-1.000000"; 
1292284585; "LOST;-1.000000"; 
1292284589; "LOST;-1.000000"; 
1292284592; "LOST;-1.000000"; 
1292284595; "LOST;-1.000000"; 
1292284599; "LOST;-1.000000"; 
1292284602; "LOST;-1.000000"; 
1292284605; "LOST;-1.000000"; 
1292284608; "LOST;-1.000000"; 
1292284612; "LOST;-1.000000"; 
1292284615; "LOST;-1.000000"; 
1292284618; "LOST;-1.000000"; 
1292284621; "LOST;-1.000000"; 
1292284625; "LOST;-1.000000"; 
1292284628; "LOST;-1.000000"; 
1292284631; "LOST;-1.000000"; 
1292284635; "LOST;-1.000000"; 
1292284638; "LOST;-1.000000"; 
1292284642; "LOST;-1.000000"; 
1292284646; "LOST;-1.000000"; 
1292284650; "LOST;-1.000000"; 
1292284654; "LOST;-1.000000"; 
1292284657; "LOST;-1.000000"; 
1292284662; "LOST;-1.000000"; 
1292284666; "LOST;-1.000000"; 
1292284670; "LOST;-1.000000"; 
1292284673; "LOST;-1.000000"; 
1292284677; "LOST;-1.000000"; 
1292284681; "LOST;-1.000000"; 
1292284685; "LOST;-1.000000"; 
1292284689; "LOST;-1.000000"; 
1292284693; "LOST;-1.000000"; 
1292284697; "LOST;-1.000000"; 
1292284702; "LOST;-1.000000"; 
1292284705; "LOST;-1.000000"; 
1292284709; "LOST;-1.000000"; 
1292284713; "LOST;-1.000000"; 
1292284717; "LOST;-1.000000"; 
1292284720; "LOST;-1.000000"; 
1292284724; "LOST;-1.000000"; 
1292284727; "LOST;-1.000000"; 
1292284730; "LOST;-1.000000"; 
1292284734; "LOST;-1.000000"; 
1292284737; "LOST;-1.000000"; 
1292284740; "LOST;-1.000000"; 
1292284743; "LOST;-1.000000"; 
1292284747; "LOST;-1.000000"; 
1292284750; "LOST;-1.000000"; 
