time (seconds); Text; 
1292090240; "    0,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090243; "    1,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292090247; "    2,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292090250; "    3,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292090253; "    4,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292090257; "    5,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292090260; "    6,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292090263; "    7,  0.99;  0.01;  0.20; LOST  -0.55"; 
1292090267; "    8,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292090270; "    9,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292090311; "   10,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292090314; "   11,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292090318; "   12,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292090322; "   13,  0.99;  0.01;  0.20; LOST  -0.55"; 
1292090325; "   14,  0.99;  0.01;  0.20; LOST  -0.70"; 
1292090329; "   15,  0.99;  0.01;  0.20; WON   0.10"; 
1292090333; "   16,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090336; "   17,  0.99;  0.01;  0.20; WON   0.10"; 
1292090340; "   18,  0.99;  0.01;  0.20; WON   0.10"; 
1292090343; "   19,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090347; "   20,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090351; "   21,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292090356; "   22,  0.99;  0.01;  0.20; LOST  -0.85"; 
1292090359; "   23,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090363; "   24,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292090368; "   25,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292090371; "   26,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292090375; "   27,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292090379; "   28,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292090382; "   29,  0.99;  0.01;  0.20; WON   0.10"; 
1292090386; "   30,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292090389; "   31,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090393; "   32,  0.99;  0.01;  0.20; WON   0.10"; 
1292090396; "   33,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090399; "   34,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090404; "   35,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292090408; "   36,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090411; "   37,  0.99;  0.01;  0.20; LOST  -0.55"; 
1292090415; "   38,  0.99;  0.01;  0.20; WON   0.10"; 
1292090418; "   39,  0.99;  0.01;  0.20; WON   0.10"; 
1292090422; "   40,  0.99;  0.01;  0.20; WON   0.10"; 
1292090425; "   41,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292090429; "   42,  0.99;  0.01;  0.20; WON   0.10"; 
1292090432; "   43,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090437; "   44,  0.99;  0.01;  0.20; LOST  -0.40"; 
1292090440; "   45,  0.99;  0.01;  0.20; LOST   0.00"; 
1292090444; "   46,  0.99;  0.01;  0.20; WON   0.10"; 
1292090447; "   47,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090451; "   48,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090454; "   49,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090458; "   50,  0.99;  0.01;  0.20; WON   0.10"; 
1292090462; "   51,  0.99;  0.01;  0.20; LOST   0.00"; 
1292090465; "   52,  0.99;  0.01;  0.20; WON   0.10"; 
1292090469; "   53,  0.99;  0.01;  0.20; WON   0.10"; 
1292090472; "   54,  0.99;  0.01;  0.20; WON   0.10"; 
1292090476; "   55,  0.99;  0.01;  0.20; WON   0.10"; 
1292090479; "   56,  0.99;  0.01;  0.20; LOST  -0.25"; 
1292090483; "   57,  0.99;  0.01;  0.20; LOST   0.00"; 
1292090486; "   58,  0.99;  0.01;  0.20; LOST   0.00"; 
1292090490; "   59,  0.99;  0.01;  0.20; WON   0.10"; 
1292090493; "   60,  0.99;  0.01;  0.20; WON   0.10"; 
1292090497; "   61,  0.99;  0.01;  0.20; WON   0.10"; 
1292090500; "   62,  0.99;  0.01;  0.20; WON   0.10"; 
1292090504; "   63,  0.99;  0.01;  0.20; WON   0.10"; 
1292090507; "   64,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090511; "   65,  0.99;  0.01;  0.20; LOST  -0.70"; 
1292090514; "   66,  0.99;  0.01;  0.20; WON   0.10"; 
1292090518; "   67,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090521; "   68,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090525; "   69,  0.99;  0.01;  0.20; WON   0.10"; 
1292090528; "   70,  0.99;  0.01;  0.20; WON   0.10"; 
1292090532; "   71,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090535; "   72,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090539; "   73,  0.99;  0.01;  0.20; WON   0.10"; 
1292090542; "   74,  0.99;  0.01;  0.20; WON   0.10"; 
1292090546; "   75,  0.99;  0.01;  0.20; WON   0.10"; 
1292090549; "   76,  0.99;  0.01;  0.20; WON   0.10"; 
1292090553; "   77,  0.99;  0.01;  0.20; WON   0.10"; 
1292090556; "   78,  0.99;  0.01;  0.20; LOST   0.00"; 
1292090560; "   79,  0.99;  0.01;  0.20; WON   0.10"; 
1292090563; "   80,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090567; "   81,  0.99;  0.01;  0.20; WON   0.10"; 
1292090570; "   82,  0.99;  0.01;  0.20; WON   0.10"; 
1292090574; "   83,  0.99;  0.01;  0.20; WON   0.10"; 
1292090577; "   84,  0.99;  0.01;  0.20; LOST  -0.10"; 
1292090581; "   85,  0.99;  0.01;  0.20; WON   0.10"; 
1292090584; "   86,  0.99;  0.01;  0.20; WON   0.10"; 
1292090588; "   87,  0.99;  0.01;  0.20; WON   0.10"; 
1292090591; "   88,  0.99;  0.01;  0.20; WON   0.10"; 
1292090595; "   89,  0.99;  0.01;  0.20; WON   0.10"; 
1292090598; "   90,  0.99;  0.01;  0.20; LOST  -0.10"; 
