time (seconds); nrOfGames; discountFactor; exploreProbability; learningRate; result; score; 
1292090633; 100; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292090637; 101; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292090640; 102; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292090644; 103; 0.990000; 0.010000; 0.200000; "LOST"; 0.000000; 
1292090648; 104; 0.990000; 0.010000; 0.200000; "LOST"; -0.250000; 
1292090651; 105; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292090654; 106; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292090658; 107; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292090662; 108; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292090665; 109; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091035; 210; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292091039; 211; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091042; 212; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091046; 213; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091049; 214; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091053; 215; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292091067; 219; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091435; 320; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091438; 321; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091442; 322; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091445; 323; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091449; 324; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292091452; 325; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292091456; 326; 0.990000; 0.010000; 0.200000; "LOST"; 0.000000; 
1292091460; 327; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091463; 328; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091467; 329; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091832; 430; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091836; 431; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091839; 432; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292091843; 433; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091846; 434; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091850; 435; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292091853; 436; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292091857; 437; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091860; 438; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292091864; 439; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292092223; 540; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292092227; 541; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292092230; 542; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292092234; 543; 0.990000; 0.010000; 0.200000; "LOST"; -0.250000; 
1292092237; 544; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292092241; 545; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292092244; 546; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292092248; 547; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292092251; 548; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292092255; 549; 0.990000; 0.010000; 0.200000; "LOST"; 0.000000; 
1292092617; 650; 0.990000; 0.010000; 0.200000; "LOST"; -0.100000; 
1292092621; 651; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292092624; 652; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292092628; 653; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
1292092631; 654; 0.990000; 0.010000; 0.200000; "WON"; 0.100000; 
