time (seconds); Text; 
1292010112; "    0,  0.99;  0.10;  0.50; WON   0.90"; 
1292010126; "    1,  0.99;  0.10;  0.50; WON   0.89"; 
1292010146; "    2,  0.99;  0.10;  0.50; WON   0.85"; 
1292010157; "    3,  0.99;  0.10;  0.50; LOST   0.14"; 
1292010404; "    0,  0.99;  0.10;  0.50; WON   0.94"; 
1292010408; "    1,  0.99;  0.10;  0.50; WON   0.94"; 
1292010412; "    2,  0.99;  0.10;  0.50; WON   0.92"; 
1292010416; "    3,  0.99;  0.10;  0.50; WON   0.83"; 
1292010419; "    4,  0.99;  0.10;  0.50; WON   0.90"; 
1292010423; "    5,  0.99;  0.10;  0.50; WON   0.89"; 
1292010427; "    6,  0.99;  0.10;  0.50; WON   0.86"; 
1292010431; "    7,  0.99;  0.10;  0.50; WON   0.89"; 
1292010435; "    8,  0.99;  0.10;  0.50; WON   0.85"; 
1292010439; "    9,  0.99;  0.10;  0.50; WON   0.83"; 
1292010443; "   10,  0.99;  0.10;  0.50; WON   0.84"; 
1292010446; "   11,  0.99;  0.10;  0.50; WON   0.90"; 
1292010449; "   12,  0.99;  0.10;  0.50; WON   0.87"; 
1292010453; "   13,  0.99;  0.10;  0.50; WON   0.89"; 
1292010456; "   14,  0.99;  0.10;  0.50; WON   0.86"; 
1292010460; "   15,  0.99;  0.10;  0.50; WON   0.90"; 
1292010463; "   16,  0.99;  0.10;  0.50; WON   0.89"; 
1292010467; "   17,  0.99;  0.10;  0.50; WON   0.88"; 
1292010470; "   18,  0.99;  0.10;  0.50; WON   0.94"; 
1292010474; "   19,  0.99;  0.10;  0.50; WON   0.90"; 
1292010477; "   20,  0.99;  0.10;  0.50; WON   0.85"; 
1292010481; "   21,  0.99;  0.10;  0.50; WON   0.88"; 
1292010484; "   22,  0.99;  0.10;  0.50; WON   0.91"; 
1292010488; "   23,  0.99;  0.10;  0.50; WON   0.94"; 
1292010491; "   24,  0.99;  0.10;  0.50; WON   0.82"; 
1292010495; "   25,  0.99;  0.10;  0.50; WON   0.94"; 
1292010498; "   26,  0.99;  0.10;  0.50; WON   0.85"; 
1292010502; "   27,  0.99;  0.10;  0.50; WON   0.86"; 
1292010505; "   28,  0.99;  0.10;  0.50; WON   0.90"; 
1292010508; "   29,  0.99;  0.10;  0.50; WON   0.87"; 
1292010512; "   30,  0.99;  0.10;  0.50; WON   0.86"; 
1292010515; "   31,  0.99;  0.10;  0.50; WON   0.89"; 
1292010519; "   32,  0.99;  0.10;  0.50; WON   0.84"; 
1292010522; "   33,  0.99;  0.10;  0.50; WON   0.87"; 
1292010526; "   34,  0.99;  0.10;  0.50; WON   0.94"; 
1292010529; "   35,  0.99;  0.10;  0.50; WON   0.82"; 
1292010533; "   36,  0.99;  0.10;  0.50; WON   0.82"; 
1292010537; "   37,  0.99;  0.10;  0.50; WON   0.86"; 
1292010540; "   38,  0.99;  0.10;  0.50; WON   0.90"; 
1292010543; "   39,  0.99;  0.10;  0.50; WON   0.90"; 
1292010547; "   40,  0.99;  0.10;  0.50; WON   0.87"; 
1292010550; "   41,  0.99;  0.10;  0.50; WON   0.90"; 
1292010554; "   42,  0.99;  0.10;  0.50; WON   0.93"; 
1292010557; "   43,  0.99;  0.10;  0.50; WON   0.88"; 
1292010561; "   44,  0.99;  0.10;  0.50; WON   0.90"; 
1292010564; "   45,  0.99;  0.10;  0.50; WON   0.86"; 
1292010568; "   46,  0.99;  0.10;  0.50; WON   0.92"; 
1292010571; "   47,  0.99;  0.10;  0.50; WON   0.90"; 
1292010574; "   48,  0.99;  0.10;  0.50; WON   0.85"; 
1292010578; "   49,  0.99;  0.10;  0.50; WON   0.85"; 
1292010581; "   50,  0.99;  0.10;  0.50; WON   0.89"; 
1292010585; "   51,  0.99;  0.10;  0.50; WON   0.90"; 
1292010588; "   52,  0.99;  0.10;  0.50; WON   0.89"; 
1292010592; "   53,  0.99;  0.10;  0.50; WON   0.86"; 
1292010595; "   54,  0.99;  0.10;  0.50; WON   0.89"; 
1292010599; "   55,  0.99;  0.10;  0.50; WON   0.90"; 
1292010602; "   56,  0.99;  0.10;  0.50; WON   0.93"; 
1292010606; "   57,  0.99;  0.10;  0.50; WON   0.89"; 
1292010609; "   58,  0.99;  0.10;  0.50; WON   0.86"; 
1292010613; "   59,  0.99;  0.10;  0.50; WON   0.90"; 
1292010616; "   60,  0.99;  0.10;  0.50; WON   0.88"; 
1292010620; "   61,  0.99;  0.10;  0.50; WON   0.86"; 
1292010623; "   62,  0.99;  0.10;  0.50; WON   0.91"; 
1292010627; "   63,  0.99;  0.10;  0.50; WON   0.90"; 
1292010630; "   64,  0.99;  0.10;  0.50; WON   0.90"; 
1292010634; "   65,  0.99;  0.10;  0.50; WON   0.89"; 
1292010637; "   66,  0.99;  0.10;  0.50; WON   0.90"; 
1292010640; "   67,  0.99;  0.10;  0.50; WON   0.88"; 
1292010644; "   68,  0.99;  0.10;  0.50; WON   0.92"; 
1292010647; "   69,  0.99;  0.10;  0.50; WON   0.90"; 
1292010651; "   70,  0.99;  0.10;  0.50; WON   0.89"; 
1292010654; "   71,  0.99;  0.10;  0.50; WON   0.98"; 
1292010658; "   72,  0.99;  0.10;  0.50; WON   0.87"; 
1292010661; "   73,  0.99;  0.10;  0.50; WON   0.89"; 
1292010664; "   74,  0.99;  0.10;  0.50; WON   0.94"; 
1292010668; "   75,  0.99;  0.10;  0.50; WON   0.89"; 
1292010671; "   76,  0.99;  0.10;  0.50; WON   0.90"; 
1292010675; "   77,  0.99;  0.10;  0.50; WON   0.79"; 
1292010678; "   78,  0.99;  0.10;  0.50; WON   0.92"; 
1292010682; "   79,  0.99;  0.10;  0.50; WON   0.87"; 
1292010685; "   80,  0.99;  0.10;  0.50; WON   0.89"; 
1292010689; "   81,  0.99;  0.10;  0.50; WON   0.90"; 
1292010693; "   82,  0.99;  0.10;  0.50; WON   0.85"; 
1292010696; "   83,  0.99;  0.10;  0.50; WON   0.93"; 
1292010699; "   84,  0.99;  0.10;  0.50; WON   0.89"; 
1292010703; "   85,  0.99;  0.10;  0.50; WON   0.81"; 
1292010707; "   86,  0.99;  0.10;  0.50; WON   0.88"; 
1292010711; "   87,  0.99;  0.10;  0.50; WON   0.84"; 
1292010714; "   88,  0.99;  0.10;  0.50; WON   0.89"; 
1292010718; "   89,  0.99;  0.10;  0.50; WON   0.90"; 
1292010721; "   90,  0.99;  0.10;  0.50; WON   0.88"; 
1292010725; "   91,  0.99;  0.10;  0.50; WON   0.85"; 
1292010728; "   92,  0.99;  0.10;  0.50; WON   0.86"; 
1292010731; "   93,  0.99;  0.10;  0.50; WON   0.90"; 
1292010735; "   94,  0.99;  0.10;  0.50; WON   0.90"; 
1292010738; "   95,  0.99;  0.10;  0.50; WON   0.89"; 
1292010742; "   96,  0.99;  0.10;  0.50; WON   0.98"; 
1292010745; "   97,  0.99;  0.10;  0.50; WON   0.86"; 
1292010749; "   98,  0.99;  0.10;  0.50; WON   0.86"; 
1292010752; "   99,  0.99;  0.10;  0.50; WON   0.89"; 
1292010756; "  100,  0.99;  0.10;  0.50; WON   0.88"; 
1292010759; "  101,  0.99;  0.10;  0.50; WON   0.90"; 
1292010762; "  102,  0.99;  0.10;  0.50; WON   0.90"; 
1292010766; "  103,  0.99;  0.10;  0.50; WON   0.89"; 
1292010769; "  104,  0.99;  0.10;  0.50; WON   0.90"; 
1292010773; "  105,  0.99;  0.10;  0.50; WON   0.90"; 
1292010776; "  106,  0.99;  0.10;  0.50; WON   0.90"; 
1292010780; "  107,  0.99;  0.10;  0.50; WON   0.90"; 
1292010783; "  108,  0.99;  0.10;  0.50; WON   0.83"; 
1292010786; "  109,  0.99;  0.10;  0.50; WON   0.91"; 
1292010790; "  110,  0.99;  0.10;  0.50; WON   0.84"; 
1292010793; "  111,  0.99;  0.10;  0.50; WON   0.90"; 
1292010797; "  112,  0.99;  0.10;  0.50; WON   0.86"; 
1292010800; "  113,  0.99;  0.10;  0.50; WON   0.94"; 
1292010804; "  114,  0.99;  0.10;  0.50; WON   0.98"; 
1292010807; "  115,  0.99;  0.10;  0.50; WON   0.89"; 
1292010810; "  116,  0.99;  0.10;  0.50; WON   0.90"; 
1292010814; "  117,  0.99;  0.10;  0.50; WON   0.88"; 
1292010817; "  118,  0.99;  0.10;  0.50; WON   0.85"; 
1292010821; "  119,  0.99;  0.10;  0.50; WON   0.93"; 
1292010824; "  120,  0.99;  0.10;  0.50; WON   0.90"; 
1292010827; "  121,  0.99;  0.10;  0.50; WON   0.94"; 
1292010831; "  122,  0.99;  0.10;  0.50; WON   0.90"; 
1292010835; "  123,  0.99;  0.10;  0.50; WON   0.85"; 
1292010838; "  124,  0.99;  0.10;  0.50; WON   0.86"; 
1292010842; "  125,  0.99;  0.10;  0.50; WON   0.82"; 
1292010845; "  126,  0.99;  0.10;  0.50; WON   0.88"; 
1292010849; "  127,  0.99;  0.10;  0.50; WON   0.93"; 
1292010852; "  128,  0.99;  0.10;  0.50; WON   0.89"; 
1292010856; "  129,  0.99;  0.10;  0.50; WON   0.93"; 
1292010859; "  130,  0.99;  0.10;  0.50; WON   0.89"; 
1292010862; "  131,  0.99;  0.10;  0.50; WON   0.90"; 
1292010866; "  132,  0.99;  0.10;  0.50; WON   0.86"; 
1292010869; "  133,  0.99;  0.10;  0.50; WON   0.90"; 
1292010873; "  134,  0.99;  0.10;  0.50; WON   0.89"; 
1292010876; "  135,  0.99;  0.10;  0.50; WON   0.92"; 
1292010880; "  136,  0.99;  0.10;  0.50; WON   0.86"; 
1292010883; "  137,  0.99;  0.10;  0.50; WON   0.92"; 
1292010887; "  138,  0.99;  0.10;  0.50; WON   0.84"; 
1292010890; "  139,  0.99;  0.10;  0.50; WON   0.93"; 
1292010894; "  140,  0.99;  0.10;  0.50; WON   0.86"; 
1292010897; "  141,  0.99;  0.10;  0.50; WON   0.94"; 
1292010901; "  142,  0.99;  0.10;  0.50; WON   0.90"; 
1292010905; "  143,  0.99;  0.10;  0.50; WON   0.85"; 
1292010908; "  144,  0.99;  0.10;  0.50; WON   0.90"; 
1292010912; "  145,  0.99;  0.10;  0.50; WON   0.86"; 
1292010915; "  146,  0.99;  0.10;  0.50; WON   0.86"; 
1292010919; "  147,  0.99;  0.10;  0.50; WON   0.93"; 
1292010922; "  148,  0.99;  0.10;  0.50; WON   0.89"; 
1292010925; "  149,  0.99;  0.10;  0.50; WON   0.97"; 
1292010929; "  150,  0.99;  0.10;  0.50; WON   0.93"; 
1292010932; "  151,  0.99;  0.10;  0.50; WON   0.89"; 
1292010935; "  152,  0.99;  0.10;  0.50; WON   0.91"; 
1292010939; "  153,  0.99;  0.10;  0.50; WON   0.85"; 
1292010942; "  154,  0.99;  0.10;  0.50; WON   0.92"; 
1292010946; "  155,  0.99;  0.10;  0.50; WON   0.89"; 
1292010986; "  156,  0.99;  0.10;  0.50; LOST   0.25"; 
1292010990; "  157,  0.99;  0.10;  0.50; LOST   0.25"; 
1292010993; "  158,  0.99;  0.10;  0.50; LOST   0.10"; 
