time (seconds); Text; 
1292017332; "    0,  0.99;  0.01;  0.50; WON   0.10"; 
1292017336; "    1,  0.99;  0.01;  0.50; WON   0.10"; 
1292017340; "    2,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017344; "    3,  0.99;  0.01;  0.50; WON   0.10"; 
1292017348; "    4,  0.99;  0.01;  0.50; WON   0.10"; 
1292017352; "    5,  0.99;  0.01;  0.50; WON   0.10"; 
1292017356; "    6,  0.99;  0.01;  0.50; WON   0.10"; 
1292017360; "    7,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017364; "    8,  0.99;  0.01;  0.50; WON   0.10"; 
1292017368; "    9,  0.99;  0.01;  0.50; WON   0.10"; 
1292017372; "   10,  0.99;  0.01;  0.50; WON   0.10"; 
1292017376; "   11,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017379; "   12,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017383; "   13,  0.99;  0.01;  0.50; WON   0.10"; 
1292017387; "   14,  0.99;  0.01;  0.50; LOST  -0.25"; 
1292017390; "   15,  0.99;  0.01;  0.50; LOST  -0.40"; 
1292017394; "   16,  0.99;  0.01;  0.50; LOST  -0.25"; 
1292017397; "   17,  0.99;  0.01;  0.50; LOST  -0.25"; 
1292017401; "   18,  0.99;  0.01;  0.50; WON   0.10"; 
1292017405; "   19,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017409; "   20,  0.99;  0.01;  0.50; WON   0.10"; 
1292017412; "   21,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017416; "   22,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017420; "   23,  0.99;  0.01;  0.50; WON   0.10"; 
1292017423; "   24,  0.99;  0.01;  0.50; WON   0.10"; 
1292017427; "   25,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017431; "   26,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017434; "   27,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017438; "   28,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017442; "   29,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017446; "   30,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017449; "   31,  0.99;  0.01;  0.50; WON   0.10"; 
1292017453; "   32,  0.99;  0.01;  0.50; WON   0.10"; 
1292017457; "   33,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017460; "   34,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017464; "   35,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017468; "   36,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017471; "   37,  0.99;  0.01;  0.50; LOST  -0.25"; 
1292017475; "   38,  0.99;  0.01;  0.50; WON   0.10"; 
1292017479; "   39,  0.99;  0.01;  0.50; LOST  -0.25"; 
1292017482; "   40,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017486; "   41,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017490; "   42,  0.99;  0.01;  0.50; WON   0.10"; 
1292017494; "   43,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017497; "   44,  0.99;  0.01;  0.50; WON   0.10"; 
1292017501; "   45,  0.99;  0.01;  0.50; WON   0.10"; 
1292017505; "   46,  0.99;  0.01;  0.50; WON   0.10"; 
1292017508; "   47,  0.99;  0.01;  0.50; WON   0.10"; 
1292017512; "   48,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017516; "   49,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017519; "   50,  0.99;  0.01;  0.50; WON   0.10"; 
1292017523; "   51,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017527; "   52,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017531; "   53,  0.99;  0.01;  0.50; WON   0.10"; 
1292017534; "   54,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017538; "   55,  0.99;  0.01;  0.50; LOST  -0.25"; 
1292017543; "   56,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017547; "   57,  0.99;  0.01;  0.50; LOST  -0.25"; 
1292017551; "   58,  0.99;  0.01;  0.50; LOST  -0.25"; 
1292017555; "   59,  0.99;  0.01;  0.50; WON   0.10"; 
1292017558; "   60,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017562; "   61,  0.99;  0.01;  0.50; LOST  -0.10"; 
1292017565; "   62,  0.99;  0.01;  0.50; LOST  -0.40"; 
1292017569; "   63,  0.99;  0.01;  0.50; WON   0.10"; 
1292017573; "   64,  0.99;  0.01;  0.50; WON   0.10"; 
