1292017711;100;" ""  100,  0.99";  0.01;  0.50;" WON   0.10"""; ;WON;LOST;RATIO
1292017715;101;" ""  101,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292017719;102;" ""  102,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292017723;103;" ""  103,  0.99";  0.01;  0.50;" LOST  -0.25"""; ;3;7;0,428571429
1292017727;104;" ""  104,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292017731;105;" ""  105,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292017735;106;" ""  106,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292017739;107;" ""  107,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292017743;108;" ""  108,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292017747;109;" ""  109,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292018144;210;" ""  210,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292018148;211;" ""  211,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292018152;212;" ""  212,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292018156;213;" ""  213,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;4;6;0,666666667
1292018160;214;" ""  214,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292018164;215;" ""  215,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292018168;216;" ""  216,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292018172;217;" ""  217,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292018176;218;" ""  218,  0.99";  0.01;  0.50;" LOST  -0.25"""; ;;;
1292018180;219;" ""  219,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292018561;320;" ""  320,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292018565;321;" ""  321,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292018569;322;" ""  322,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292018572;323;" ""  323,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;1;9;0,111111111
1292018576;324;" ""  324,  0.99";  0.01;  0.50;" WON   0.10"""; ;;;
1292018580;325;" ""  325,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292018583;326;" ""  326,  0.99";  0.01;  0.50;" LOST   0.00"""; ;;;
1292018587;327;" ""  327,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292018591;328;" ""  328,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
1292018595;329;" ""  329,  0.99";  0.01;  0.50;" LOST  -0.10"""; ;;;
