time (seconds); Text; 
1292108750; "    0,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292108755; "    1,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292108758; "    2,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292108763; "    3,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292108767; "    4,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292108771; "    5,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292108775; "    6,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292108779; "    7,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292108783; "    8,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292108788; "    9,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292108792; "   10,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292108796; "   11,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292108800; "   12,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292108803; "   13,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292108807; "   14,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292108811; "   15,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292108816; "   16,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292108820; "   17,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292108823; "   18,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292108827; "   19,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292108831; "   20,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292108835; "   21,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292108839; "   22,  0.90;  0.01;  0.05; WON   0.10"; 
1292108843; "   23,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292108847; "   24,  0.90;  0.01;  0.05; WON   0.10"; 
1292108851; "   25,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292108855; "   26,  0.90;  0.01;  0.05; WON   0.10"; 
1292108858; "   27,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292108862; "   28,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292108866; "   29,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292108870; "   30,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292108874; "   31,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292108877; "   32,  0.90;  0.01;  0.05; WON   0.10"; 
1292108881; "   33,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292108885; "   34,  0.90;  0.01;  0.05; WON   0.10"; 
1292108889; "   35,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292108892; "   36,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292108896; "   37,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292108900; "   38,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292108904; "   39,  0.90;  0.01;  0.05; WON   0.10"; 
1292108908; "   40,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292108912; "   41,  0.90;  0.01;  0.05; WON   0.10"; 
1292108915; "   42,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292108920; "   43,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292108923; "   44,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292108927; "   45,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292108931; "   46,  0.90;  0.01;  0.05; WON   0.10"; 
1292108934; "   47,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292108938; "   48,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292108942; "   49,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292108946; "   50,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292108949; "   51,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292108953; "   52,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292108957; "   53,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292108960; "   54,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292108964; "   55,  0.90;  0.01;  0.05; LOST   0.00"; 
1292108968; "   56,  0.90;  0.01;  0.05; WON   0.10"; 
1292108971; "   57,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292108976; "   58,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292108979; "   59,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292108983; "   60,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292108987; "   61,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292108991; "   62,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292108994; "   63,  0.90;  0.01;  0.05; LOST  -0.25"; 
1292108998; "   64,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109002; "   65,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109006; "   66,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109009; "   67,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109013; "   68,  0.90;  0.01;  0.05; WON   0.10"; 
1292109016; "   69,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109020; "   70,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292109024; "   71,  0.90;  0.01;  0.05; WON   0.10"; 
1292109028; "   72,  0.90;  0.01;  0.05; WON   0.10"; 
1292109032; "   73,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109035; "   74,  0.90;  0.01;  0.05; LOST  -0.10"; 
1292109039; "   75,  0.90;  0.01;  0.05; LOST  -0.55"; 
1292109044; "   76,  0.90;  0.01;  0.05; LOST  -0.40"; 
1292109047; "   77,  0.90;  0.01;  0.05; LOST  -0.25"; 
