time (seconds); nrOfGames; discountFactor; exploreProbability; learningRate; result; score; 
1292109134; 100; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292109138; 101; 0.900000; 0.010000; 0.050000; "LOST"; -0.400000; 
1292109141; 102; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292109145; 103; 0.900000; 0.010000; 0.050000; "WON"; 0.100000; 
1292109149; 104; 0.900000; 0.010000; 0.050000; "LOST"; 0.000000; 
1292109152; 105; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292109156; 106; 0.900000; 0.010000; 0.050000; "LOST"; -0.400000; 
1292109160; 107; 0.900000; 0.010000; 0.050000; "LOST"; -0.250000; 
1292109163; 108; 0.900000; 0.010000; 0.050000; "WON"; 0.100000; 
1292109167; 109; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292109546; 210; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292109549; 211; 0.900000; 0.010000; 0.050000; "WON"; 0.100000; 
1292109553; 212; 0.900000; 0.010000; 0.050000; "LOST"; -0.250000; 
1292109557; 213; 0.900000; 0.010000; 0.050000; "LOST"; -0.250000; 
1292109560; 214; 0.900000; 0.010000; 0.050000; "LOST"; -0.400000; 
1292109564; 215; 0.900000; 0.010000; 0.050000; "LOST"; -0.400000; 
1292109567; 216; 0.900000; 0.010000; 0.050000; "WON"; 0.100000; 
1292109571; 217; 0.900000; 0.010000; 0.050000; "WON"; 0.100000; 
1292109575; 218; 0.900000; 0.010000; 0.050000; "LOST"; -0.400000; 
1292109579; 219; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292109949; 320; 0.900000; 0.010000; 0.050000; "LOST"; -0.400000; 
1292109953; 321; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292109956; 322; 0.900000; 0.010000; 0.050000; "WON"; 0.100000; 
1292109960; 323; 0.900000; 0.010000; 0.050000; "LOST"; -0.400000; 
1292109964; 324; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292109967; 325; 0.900000; 0.010000; 0.050000; "LOST"; -0.400000; 
1292109971; 326; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292109975; 327; 0.900000; 0.010000; 0.050000; "LOST"; -0.250000; 
1292109979; 328; 0.900000; 0.010000; 0.050000; "LOST"; 0.000000; 
1292109984; 329; 0.900000; 0.010000; 0.050000; "LOST"; -0.250000; 
1292110362; 430; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292110366; 431; 0.900000; 0.010000; 0.050000; "LOST"; -0.400000; 
1292110369; 432; 0.900000; 0.010000; 0.050000; "WON"; 0.100000; 
1292110373; 433; 0.900000; 0.010000; 0.050000; "LOST"; -0.400000; 
1292110377; 434; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292110381; 435; 0.900000; 0.010000; 0.050000; "LOST"; -0.250000; 
1292110385; 436; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292110388; 437; 0.900000; 0.010000; 0.050000; "LOST"; -0.250000; 
1292110392; 438; 0.900000; 0.010000; 0.050000; "LOST"; -0.550000; 
1292110396; 439; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292110767; 540; 0.900000; 0.010000; 0.050000; "LOST"; -0.550000; 
1292110770; 541; 0.900000; 0.010000; 0.050000; "LOST"; -0.400000; 
1292110774; 542; 0.900000; 0.010000; 0.050000; "WON"; 0.250000; 
1292110778; 543; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292110781; 544; 0.900000; 0.010000; 0.050000; "LOST"; -0.250000; 
1292110785; 545; 0.900000; 0.010000; 0.050000; "LOST"; -0.250000; 
1292110789; 546; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292110792; 547; 0.900000; 0.010000; 0.050000; "WON"; 0.100000; 
1292110796; 548; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292110799; 549; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292111170; 650; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292111174; 651; 0.900000; 0.010000; 0.050000; "LOST"; -0.250000; 
1292111178; 652; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292111181; 653; 0.900000; 0.010000; 0.050000; "LOST"; 0.000000; 
1292111185; 654; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292111188; 655; 0.900000; 0.010000; 0.050000; "WON"; 0.100000; 
1292111192; 656; 0.900000; 0.010000; 0.050000; "WON"; 0.100000; 
1292111196; 657; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292111200; 658; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292111203; 659; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292111582; 760; 0.900000; 0.010000; 0.050000; "LOST"; -0.250000; 
1292111586; 761; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292111590; 762; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292111594; 763; 0.900000; 0.010000; 0.050000; "LOST"; -0.250000; 
1292111597; 764; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292111601; 765; 0.900000; 0.010000; 0.050000; "WON"; 0.100000; 
1292111605; 766; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292111609; 767; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292111612; 768; 0.900000; 0.010000; 0.050000; "LOST"; -0.400000; 
1292111616; 769; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292111990; 870; 0.900000; 0.010000; 0.050000; "LOST"; -0.400000; 
1292111994; 871; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
1292111998; 872; 0.900000; 0.010000; 0.050000; "WON"; 0.100000; 
1292112001; 873; 0.900000; 0.010000; 0.050000; "LOST"; -0.550000; 
1292112005; 874; 0.900000; 0.010000; 0.050000; "LOST"; -0.400000; 
1292112009; 875; 0.900000; 0.010000; 0.050000; "LOST"; -0.400000; 
1292112012; 876; 0.900000; 0.010000; 0.050000; "LOST"; -0.100000; 
