time (seconds); Text; 
1292086948; "    0,  0.90;  0.05;  0.05; LOST  -0.79"; 
1292086956; "    1,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292086964; "    2,  0.90;  0.05;  0.05; LOST  -0.71"; 
1292086968; "    3,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292086972; "    4,  0.90;  0.05;  0.05; LOST  -0.73"; 
1292086975; "    5,  0.90;  0.05;  0.05; LOST  -0.84"; 
1292086980; "    6,  0.90;  0.05;  0.05; WON   0.05"; 
1292086984; "    7,  0.90;  0.05;  0.05; LOST  -0.84"; 
1292086988; "    8,  0.90;  0.05;  0.05; LOST  -0.78"; 
1292086991; "    9,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292086995; "   10,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292086998; "   11,  0.90;  0.05;  0.05; LOST  -0.91"; 
1292087001; "   12,  0.90;  0.05;  0.05; LOST  -0.76"; 
1292087005; "   13,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087009; "   14,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087012; "   15,  0.90;  0.05;  0.05; LOST  -0.82"; 
1292087016; "   16,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292087019; "   17,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087022; "   18,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087026; "   19,  0.90;  0.05;  0.05; LOST  -0.74"; 
1292087030; "   20,  0.90;  0.05;  0.05; LOST  -0.75"; 
1292087033; "   21,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087037; "   22,  0.90;  0.05;  0.05; LOST  -0.76"; 
1292087040; "   23,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292087044; "   24,  0.90;  0.05;  0.05; LOST  -0.76"; 
1292087047; "   25,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292087050; "   26,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087054; "   27,  0.90;  0.05;  0.05; LOST  -0.87"; 
1292087057; "   28,  0.90;  0.05;  0.05; LOST  -0.79"; 
1292087062; "   29,  0.90;  0.05;  0.05; WON   0.15"; 
1292087065; "   30,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087068; "   31,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292087071; "   32,  0.90;  0.05;  0.05; LOST  -0.79"; 
1292087076; "   33,  0.90;  0.05;  0.05; WON   0.05"; 
1292087080; "   34,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087083; "   35,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087086; "   36,  0.90;  0.05;  0.05; LOST  -0.79"; 
1292087090; "   37,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087095; "   38,  0.90;  0.05;  0.05; WON   0.05"; 
1292087098; "   39,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087101; "   40,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087105; "   41,  0.90;  0.05;  0.05; LOST  -0.81"; 
1292087110; "   42,  0.90;  0.05;  0.05; WON   0.05"; 
1292087114; "   43,  0.90;  0.05;  0.05; LOST  -0.81"; 
1292087118; "   44,  0.90;  0.05;  0.05; LOST  -0.79"; 
1292087121; "   45,  0.90;  0.05;  0.05; LOST  -0.79"; 
1292087125; "   46,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292087129; "   47,  0.90;  0.05;  0.05; LOST  -0.74"; 
1292087133; "   48,  0.90;  0.05;  0.05; LOST  -0.74"; 
1292087138; "   49,  0.90;  0.05;  0.05; WON   0.15"; 
1292087142; "   50,  0.90;  0.05;  0.05; LOST  -0.79"; 
1292087145; "   51,  0.90;  0.05;  0.05; LOST  -0.81"; 
1292087149; "   52,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292087153; "   53,  0.90;  0.05;  0.05; LOST  -0.74"; 
1292087157; "   54,  0.90;  0.05;  0.05; LOST  -0.74"; 
1292087163; "   55,  0.90;  0.05;  0.05; WON   0.15"; 
1292087167; "   56,  0.90;  0.05;  0.05; LOST  -0.72"; 
1292087171; "   57,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087175; "   58,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292087181; "   59,  0.90;  0.05;  0.05; WON   0.15"; 
1292087184; "   60,  0.90;  0.05;  0.05; LOST  -0.84"; 
1292087188; "   61,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087192; "   62,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087195; "   63,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087201; "   64,  0.90;  0.05;  0.05; WON   0.15"; 
1292087204; "   65,  0.90;  0.05;  0.05; LOST  -0.79"; 
1292087210; "   66,  0.90;  0.05;  0.05; WON   0.15"; 
1292087213; "   67,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292087219; "   68,  0.90;  0.05;  0.05; WON   0.15"; 
1292087222; "   69,  0.90;  0.05;  0.05; LOST  -0.73"; 
1292087228; "   70,  0.90;  0.05;  0.05; LOST  -0.62"; 
1292087232; "   71,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087236; "   72,  0.90;  0.05;  0.05; LOST  -0.74"; 
1292087240; "   73,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087243; "   74,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087247; "   75,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292087250; "   76,  0.90;  0.05;  0.05; LOST  -0.79"; 
1292087254; "   77,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087260; "   78,  0.90;  0.05;  0.05; WON   0.15"; 
1292087264; "   79,  0.90;  0.05;  0.05; LOST  -0.81"; 
1292087267; "   80,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292087272; "   81,  0.90;  0.05;  0.05; WON   0.05"; 
1292087276; "   82,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087280; "   83,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087283; "   84,  0.90;  0.05;  0.05; LOST  -0.86"; 
1292087287; "   85,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087290; "   86,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292087294; "   87,  0.90;  0.05;  0.05; LOST  -0.76"; 
1292087298; "   88,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087301; "   89,  0.90;  0.05;  0.05; LOST  -0.81"; 
1292087305; "   90,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087310; "   91,  0.90;  0.05;  0.05; WON   0.05"; 
1292087314; "   92,  0.90;  0.05;  0.05; LOST  -0.74"; 
1292087317; "   93,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087321; "   94,  0.90;  0.05;  0.05; LOST  -0.75"; 
1292087325; "   95,  0.90;  0.05;  0.05; LOST  -0.74"; 
1292087329; "   96,  0.90;  0.05;  0.05; LOST  -0.84"; 
1292087333; "   97,  0.90;  0.05;  0.05; LOST  -0.81"; 
1292087337; "   98,  0.90;  0.05;  0.05; LOST  -0.71"; 
1292087342; "   99,  0.90;  0.05;  0.05; LOST  -0.72"; 
1292087347; "  100,  0.90;  0.05;  0.05; LOST  -0.74"; 
1292087351; "  101,  0.90;  0.05;  0.05; LOST  -0.70"; 
1292087356; "  102,  0.90;  0.05;  0.05; LOST  -0.69"; 
1292087360; "  103,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087365; "  104,  0.90;  0.05;  0.05; LOST  -0.74"; 
1292087369; "  105,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087373; "  106,  0.90;  0.05;  0.05; LOST  -0.70"; 
1292087377; "  107,  0.90;  0.05;  0.05; LOST  -0.75"; 
1292087381; "  108,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087385; "  109,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087388; "  110,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087392; "  111,  0.90;  0.05;  0.05; LOST  -0.81"; 
1292087395; "  112,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087399; "  113,  0.90;  0.05;  0.05; LOST  -0.81"; 
1292087402; "  114,  0.90;  0.05;  0.05; LOST  -0.84"; 
1292087405; "  115,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087409; "  116,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087413; "  117,  0.90;  0.05;  0.05; LOST  -0.71"; 
1292087417; "  118,  0.90;  0.05;  0.05; LOST  -0.81"; 
1292087420; "  119,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087423; "  120,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087429; "  121,  0.90;  0.05;  0.05; WON   0.15"; 
1292087433; "  122,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087436; "  123,  0.90;  0.05;  0.05; LOST  -0.70"; 
1292087441; "  124,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292087444; "  125,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087448; "  126,  0.90;  0.05;  0.05; LOST  -0.81"; 
1292087454; "  127,  0.90;  0.05;  0.05; WON   0.15"; 
1292087457; "  128,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087461; "  129,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292087465; "  130,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087468; "  131,  0.90;  0.05;  0.05; LOST  -0.84"; 
1292087472; "  132,  0.90;  0.05;  0.05; LOST  -0.74"; 
1292087475; "  133,  0.90;  0.05;  0.05; LOST  -0.81"; 
1292087479; "  134,  0.90;  0.05;  0.05; LOST  -0.68"; 
1292087484; "  135,  0.90;  0.05;  0.05; LOST  -0.68"; 
1292087489; "  136,  0.90;  0.05;  0.05; WON   0.15"; 
1292087493; "  137,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087497; "  138,  0.90;  0.05;  0.05; LOST  -0.74"; 
1292087501; "  139,  0.90;  0.05;  0.05; LOST  -0.74"; 
1292087504; "  140,  0.90;  0.05;  0.05; LOST  -0.81"; 
1292087508; "  141,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087512; "  142,  0.90;  0.05;  0.05; LOST  -0.84"; 
1292087515; "  143,  0.90;  0.05;  0.05; LOST  -0.85"; 
1292087519; "  144,  0.90;  0.05;  0.05; LOST  -0.82"; 
1292087523; "  145,  0.90;  0.05;  0.05; LOST  -0.71"; 
1292087527; "  146,  0.90;  0.05;  0.05; LOST  -0.82"; 
1292087531; "  147,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087534; "  148,  0.90;  0.05;  0.05; LOST  -0.81"; 
1292087538; "  149,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087542; "  150,  0.90;  0.05;  0.05; LOST  -0.73"; 
1292087545; "  151,  0.90;  0.05;  0.05; LOST  -0.84"; 
1292087549; "  152,  0.90;  0.05;  0.05; LOST  -0.74"; 
1292087553; "  153,  0.90;  0.05;  0.05; LOST  -0.81"; 
1292087558; "  154,  0.90;  0.05;  0.05; WON   0.15"; 
1292087562; "  155,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292087565; "  156,  0.90;  0.05;  0.05; LOST  -0.81"; 
1292087569; "  157,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292087572; "  158,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292087576; "  159,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087580; "  160,  0.90;  0.05;  0.05; LOST  -0.71"; 
1292087583; "  161,  0.90;  0.05;  0.05; LOST  -0.84"; 
1292087587; "  162,  0.90;  0.05;  0.05; LOST  -0.68"; 
1292087591; "  163,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087595; "  164,  0.90;  0.05;  0.05; LOST  -0.71"; 
1292087598; "  165,  0.90;  0.05;  0.05; LOST  -0.76"; 
1292087602; "  166,  0.90;  0.05;  0.05; LOST  -0.75"; 
1292087606; "  167,  0.90;  0.05;  0.05; LOST  -0.75"; 
1292087610; "  168,  0.90;  0.05;  0.05; LOST  -0.84"; 
1292087614; "  169,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087617; "  170,  0.90;  0.05;  0.05; LOST  -0.67"; 
1292087621; "  171,  0.90;  0.05;  0.05; LOST  -0.71"; 
1292087625; "  172,  0.90;  0.05;  0.05; LOST  -0.74"; 
1292087629; "  173,  0.90;  0.05;  0.05; LOST  -0.79"; 
1292087633; "  174,  0.90;  0.05;  0.05; LOST  -0.74"; 
1292087638; "  175,  0.90;  0.05;  0.05; WON   0.15"; 
1292087642; "  176,  0.90;  0.05;  0.05; LOST  -0.74"; 
1292087648; "  177,  0.90;  0.05;  0.05; WON   0.15"; 
1292087651; "  178,  0.90;  0.05;  0.05; LOST  -0.76"; 
1292087655; "  179,  0.90;  0.05;  0.05; LOST  -0.74"; 
1292087659; "  180,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292087663; "  181,  0.90;  0.05;  0.05; LOST  -0.78"; 
1292087666; "  182,  0.90;  0.05;  0.05; LOST  -0.84"; 
1292087670; "  183,  0.90;  0.05;  0.05; LOST  -0.64"; 
1292087674; "  184,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087678; "  185,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087682; "  186,  0.90;  0.05;  0.05; LOST  -0.71"; 
1292087685; "  187,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087689; "  188,  0.90;  0.05;  0.05; LOST  -0.80"; 
1292087692; "  189,  0.90;  0.05;  0.05; LOST  -0.83"; 
1292087696; "  190,  0.90;  0.05;  0.05; LOST  -0.76"; 
1292087699; "  191,  0.90;  0.05;  0.05; LOST  -0.77"; 
1292087704; "  192,  0.90;  0.05;  0.05; LOST  -0.69"; 
1292087707; "  193,  0.90;  0.05;  0.05; LOST  -0.76"; 
