time (seconds); nrOfGames; discountFactor; exploreProbability; learningRate; result; score; 
1292087347; 100; 0.900000; 0.050000; 0.050000; "LOST"; -0.737500; 
1292087351; 101; 0.900000; 0.050000; 0.050000; "LOST"; -0.700000; 
1292087356; 102; 0.900000; 0.050000; 0.050000; "LOST"; -0.693750; 
1292087360; 103; 0.900000; 0.050000; 0.050000; "LOST"; -0.775000; 
1292087365; 104; 0.900000; 0.050000; 0.050000; "LOST"; -0.737500; 
1292087369; 105; 0.900000; 0.050000; 0.050000; "LOST"; -0.775000; 
1292087373; 106; 0.900000; 0.050000; 0.050000; "LOST"; -0.700000; 
1292087377; 107; 0.900000; 0.050000; 0.050000; "LOST"; -0.750000; 
1292087774; 210; 0.900000; 0.050000; 0.050000; "LOST"; -0.637500; 
1292087779; 211; 0.900000; 0.050000; 0.050000; "LOST"; -0.587500; 
1292087784; 212; 0.900000; 0.050000; 0.050000; "LOST"; -0.637500; 
1292087789; 213; 0.900000; 0.050000; 0.050000; "LOST"; -0.637500; 
1292087794; 214; 0.900000; 0.050000; 0.050000; "LOST"; -0.543750; 
1292087800; 215; 0.900000; 0.050000; 0.050000; "LOST"; -0.643750; 
1292087805; 216; 0.900000; 0.050000; 0.050000; "LOST"; -0.637500; 
1292087810; 217; 0.900000; 0.050000; 0.050000; "LOST"; -0.606250; 
1292087815; 218; 0.900000; 0.050000; 0.050000; "LOST"; -0.625000; 
1292087820; 219; 0.900000; 0.050000; 0.050000; "LOST"; -0.668750; 
1292088276; 320; 0.900000; 0.050000; 0.050000; "LOST"; -0.587500; 
1292088281; 321; 0.900000; 0.050000; 0.050000; "LOST"; -0.668750; 
1292088286; 322; 0.900000; 0.050000; 0.050000; "LOST"; -0.643750; 
1292088292; 323; 0.900000; 0.050000; 0.050000; "LOST"; -0.593750; 
1292088298; 324; 0.900000; 0.050000; 0.050000; "LOST"; -0.581250; 
1292088303; 325; 0.900000; 0.050000; 0.050000; "LOST"; -0.637500; 
1292088309; 326; 0.900000; 0.050000; 0.050000; "LOST"; -0.618750; 
1292088315; 327; 0.900000; 0.050000; 0.050000; "LOST"; -0.587500; 
1292088320; 328; 0.900000; 0.050000; 0.050000; "LOST"; -0.581250; 
1292088326; 329; 0.900000; 0.050000; 0.050000; "LOST"; -0.618750; 
1292088765; 430; 0.900000; 0.050000; 0.050000; "LOST"; -0.687500; 
1292088769; 431; 0.900000; 0.050000; 0.050000; "LOST"; -0.681250; 
1292088773; 432; 0.900000; 0.050000; 0.050000; "LOST"; -0.687500; 
1292088778; 433; 0.900000; 0.050000; 0.050000; "LOST"; -0.712500; 
1292088782; 434; 0.900000; 0.050000; 0.050000; "LOST"; -0.681250; 
1292088787; 435; 0.900000; 0.050000; 0.050000; "LOST"; -0.593750; 
1292088792; 436; 0.900000; 0.050000; 0.050000; "LOST"; -0.656250; 
1292088796; 437; 0.900000; 0.050000; 0.050000; "LOST"; -0.637500; 
1292088800; 438; 0.900000; 0.050000; 0.050000; "LOST"; -0.687500; 
1292088805; 439; 0.900000; 0.050000; 0.050000; "LOST"; -0.612500; 
1292089244; 540; 0.900000; 0.050000; 0.050000; "LOST"; -0.575000; 
1292089249; 541; 0.900000; 0.050000; 0.050000; "LOST"; -0.662500; 
1292089254; 542; 0.900000; 0.050000; 0.050000; "LOST"; -0.587500; 
1292089258; 543; 0.900000; 0.050000; 0.050000; "LOST"; -0.593750; 
1292089264; 544; 0.900000; 0.050000; 0.050000; "LOST"; -0.575000; 
1292089268; 545; 0.900000; 0.050000; 0.050000; "LOST"; -0.600000; 
1292089273; 546; 0.900000; 0.050000; 0.050000; "LOST"; -0.593750; 
1292089278; 547; 0.900000; 0.050000; 0.050000; "LOST"; -0.687500; 
1292089284; 548; 0.900000; 0.050000; 0.050000; "LOST"; -0.606250; 
1292089290; 549; 0.900000; 0.050000; 0.050000; "LOST"; -0.656250; 
1292089717; 650; 0.900000; 0.050000; 0.050000; "LOST"; -0.568750; 
1292089722; 651; 0.900000; 0.050000; 0.050000; "LOST"; -0.575000; 
1292089727; 652; 0.900000; 0.050000; 0.050000; "LOST"; -0.606250; 
1292089732; 653; 0.900000; 0.050000; 0.050000; "LOST"; -0.575000; 
1292089738; 654; 0.900000; 0.050000; 0.050000; "LOST"; -0.600000; 
1292089743; 655; 0.900000; 0.050000; 0.050000; "LOST"; -0.606250; 
1292089748; 656; 0.900000; 0.050000; 0.050000; "LOST"; -0.600000; 
1292089753; 657; 0.900000; 0.050000; 0.050000; "LOST"; -0.575000; 
1292089758; 658; 0.900000; 0.050000; 0.050000; "LOST"; -0.606250; 
1292089763; 659; 0.900000; 0.050000; 0.050000; "LOST"; -0.606250; 
1292090198; 760; 0.900000; 0.050000; 0.050000; "LOST"; -0.625000; 
1292090203; 761; 0.900000; 0.050000; 0.050000; "LOST"; -0.631250; 
1292090207; 762; 0.900000; 0.050000; 0.050000; "LOST"; -0.612500; 
1292090212; 763; 0.900000; 0.050000; 0.050000; "LOST"; -0.675000; 
1292090217; 764; 0.900000; 0.050000; 0.050000; "LOST"; -0.637500; 
1292090221; 765; 0.900000; 0.050000; 0.050000; "LOST"; -0.637500; 
1292090226; 766; 0.900000; 0.050000; 0.050000; "LOST"; -0.618750; 
1292090231; 767; 0.900000; 0.050000; 0.050000; "LOST"; -0.631250; 
1292090235; 768; 0.900000; 0.050000; 0.050000; "LOST"; -0.612500; 
1292090240; 769; 0.900000; 0.050000; 0.050000; "LOST"; -0.612500; 
1292090676; 870; 0.900000; 0.050000; 0.050000; "LOST"; -0.606250; 
1292090681; 871; 0.900000; 0.050000; 0.050000; "LOST"; -0.631250; 
1292090686; 872; 0.900000; 0.050000; 0.050000; "LOST"; -0.600000; 
1292090691; 873; 0.900000; 0.050000; 0.050000; "LOST"; -0.600000; 
1292090696; 874; 0.900000; 0.050000; 0.050000; "LOST"; -0.575000; 
1292090701; 875; 0.900000; 0.050000; 0.050000; "LOST"; -0.600000; 
1292090706; 876; 0.900000; 0.050000; 0.050000; "LOST"; -0.600000; 
1292090711; 877; 0.900000; 0.050000; 0.050000; "LOST"; -0.600000; 
1292090716; 878; 0.900000; 0.050000; 0.050000; "LOST"; -0.593750; 
1292090722; 879; 0.900000; 0.050000; 0.050000; "LOST"; -0.631250; 
1292091173; 980; 0.900000; 0.050000; 0.050000; "LOST"; -0.593750; 
1292091178; 981; 0.900000; 0.050000; 0.050000; "LOST"; -0.618750; 
1292091183; 982; 0.900000; 0.050000; 0.050000; "LOST"; -0.637500; 
1292091188; 983; 0.900000; 0.050000; 0.050000; "LOST"; -0.637500; 
1292091193; 984; 0.900000; 0.050000; 0.050000; "LOST"; -0.587500; 
1292091198; 985; 0.900000; 0.050000; 0.050000; "LOST"; -0.637500; 
1292091203; 986; 0.900000; 0.050000; 0.050000; "LOST"; -0.643750; 
1292091208; 987; 0.900000; 0.050000; 0.050000; "LOST"; -0.637500; 
1292091213; 988; 0.900000; 0.050000; 0.050000; "LOST"; -0.581250; 
1292091221; 989; 0.900000; 0.050000; 0.050000; "WON"; 0.050000; 
1292091652; 1090; 0.900000; 0.050000; 0.050000; "LOST"; -0.706250; 
1292091657; 1091; 0.900000; 0.050000; 0.050000; "LOST"; -0.706250; 
1292091661; 1092; 0.900000; 0.050000; 0.050000; "LOST"; -0.743750; 
1292091665; 1093; 0.900000; 0.050000; 0.050000; "LOST"; -0.668750; 
1292091670; 1094; 0.900000; 0.050000; 0.050000; "LOST"; -0.681250; 
1292091676; 1095; 0.900000; 0.050000; 0.050000; "LOST"; -0.637500; 
1292091681; 1096; 0.900000; 0.050000; 0.050000; "LOST"; -0.675000; 
1292091685; 1097; 0.900000; 0.050000; 0.050000; "LOST"; -0.675000; 
1292091690; 1098; 0.900000; 0.050000; 0.050000; "LOST"; -0.668750; 
1292091694; 1099; 0.900000; 0.050000; 0.050000; "LOST"; -0.612500; 
1292092113; 1200; 0.900000; 0.050000; 0.050000; "LOST"; -0.712500; 
1292092117; 1201; 0.900000; 0.050000; 0.050000; "LOST"; -0.743750; 
1292092122; 1202; 0.900000; 0.050000; 0.050000; "LOST"; -0.668750; 
1292092126; 1203; 0.900000; 0.050000; 0.050000; "LOST"; -0.706250; 
1292092130; 1204; 0.900000; 0.050000; 0.050000; "LOST"; -0.681250; 
1292092135; 1205; 0.900000; 0.050000; 0.050000; "LOST"; -0.743750; 
1292092139; 1206; 0.900000; 0.050000; 0.050000; "LOST"; -0.668750; 
1292092143; 1207; 0.900000; 0.050000; 0.050000; "LOST"; -0.668750; 
1292092148; 1208; 0.900000; 0.050000; 0.050000; "LOST"; -0.668750; 
1292092152; 1209; 0.900000; 0.050000; 0.050000; "LOST"; -0.675000; 
1292092552; 1310; 0.900000; 0.050000; 0.050000; "LOST"; -0.800000; 
1292092556; 1311; 0.900000; 0.050000; 0.050000; "LOST"; -0.700000; 
1292092560; 1312; 0.900000; 0.050000; 0.050000; "LOST"; -0.768750; 
1292092564; 1313; 0.900000; 0.050000; 0.050000; "LOST"; -0.800000; 
1292092568; 1314; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292092572; 1315; 0.900000; 0.050000; 0.050000; "LOST"; -0.743750; 
1292092576; 1316; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292092580; 1317; 0.900000; 0.050000; 0.050000; "LOST"; -0.743750; 
1292092584; 1318; 0.900000; 0.050000; 0.050000; "LOST"; -0.775000; 
1292092588; 1319; 0.900000; 0.050000; 0.050000; "LOST"; -0.800000; 
1292092964; 1420; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292092968; 1421; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292092971; 1422; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292092975; 1423; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292092978; 1424; 0.900000; 0.050000; 0.050000; "LOST"; -0.875000; 
1292092982; 1425; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292092986; 1426; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292092989; 1427; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292092993; 1428; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292092996; 1429; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292093364; 1530; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292093367; 1531; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292093371; 1532; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
1292093375; 1533; 0.900000; 0.050000; 0.050000; "LOST"; -0.837500; 
