time (seconds); Text; 
1292160923; "LOST"; 
1292160937; "LOST"; 
1292160951; "LOST"; 
1292160973; "LOST"; 
1292160989; "LOST"; 
1292161005; "LOST"; 
1292161019; "LOST"; 
1292161033; "LOST"; 
1292161048; "LOST"; 
1292161062; "LOST"; 
1292161075; "LOST"; 
1292161162; "LOST"; 
1292161180; "LOST"; 
1292161203; "LOST"; 
1292161210; "LOST"; 
1292161268; "LOST"; 
1292161281; "WON"; 
1292161352; "LOST"; 
1292161708; "LOST"; 
1292161726; "LOST"; 
1292161747; "LOST"; 
1292161763; "LOST"; 
1292161779; "LOST"; 
1292161799; "LOST"; 
1292161806; "LOST"; 
1292161859; "LOST"; 
1292161863; "LOST"; 
1292161866; "LOST"; 
1292161869; "LOST"; 
1292161873; "LOST"; 
1292161876; "LOST"; 
1292161880; "LOST"; 
1292161883; "LOST"; 
1292161887; "LOST"; 
1292161890; "LOST"; 
1292161894; "LOST"; 
1292161897; "LOST"; 
1292161901; "LOST"; 
1292161904; "LOST"; 
1292161907; "LOST"; 
1292161911; "LOST"; 
1292161915; "LOST"; 
1292161918; "LOST"; 
1292161922; "LOST"; 
1292161925; "LOST"; 
1292161928; "LOST"; 
1292161932; "LOST"; 
1292161935; "LOST"; 
1292161938; "LOST"; 
1292161941; "LOST"; 
1292161945; "LOST"; 
1292161948; "LOST"; 
1292161952; "LOST"; 
1292161955; "LOST"; 
1292161959; "LOST"; 
1292161962; "LOST"; 
1292161966; "LOST"; 
1292161969; "LOST"; 
1292161972; "LOST"; 
1292161976; "LOST"; 
1292161979; "LOST"; 
1292161983; "LOST"; 
1292161986; "LOST"; 
1292161989; "LOST"; 
1292161993; "LOST"; 
1292161996; "LOST"; 
1292161999; "LOST"; 
1292162003; "LOST"; 
1292162006; "LOST"; 
1292162010; "LOST"; 
1292162013; "LOST"; 
1292162017; "LOST"; 
1292162022; "LOST"; 
1292162025; "LOST"; 
1292162029; "LOST"; 
1292162032; "LOST"; 
1292162036; "LOST"; 
1292162039; "LOST"; 
1292162043; "LOST"; 
1292162046; "LOST"; 
1292162049; "LOST"; 
1292162053; "LOST"; 
1292162056; "LOST"; 
1292162060; "LOST"; 
1292162063; "LOST"; 
1292162067; "LOST"; 
1292162070; "LOST"; 
1292162074; "LOST"; 
1292162077; "LOST"; 
1292162081; "LOST"; 
1292162084; "LOST"; 
1292162087; "LOST"; 
1292162091; "LOST"; 
1292162094; "LOST"; 
1292162098; "LOST"; 
1292162101; "LOST"; 
1292162105; "LOST"; 
1292162108; "LOST"; 
1292162111; "LOST"; 
1292162115; "LOST"; 
1292162118; "LOST"; 
1292162123; "LOST"; 
1292162127; "LOST"; 
1292162130; "LOST"; 
1292162133; "LOST"; 
1292162137; "LOST"; 
1292162140; "LOST"; 
1292162143; "LOST"; 
1292162147; "LOST"; 
1292162150; "LOST"; 
1292162154; "LOST"; 
1292162157; "LOST"; 
1292162160; "LOST"; 
1292162164; "LOST"; 
1292162167; "LOST"; 
1292162171; "LOST"; 
1292162174; "LOST"; 
1292162177; "LOST"; 
1292162181; "LOST"; 
1292162184; "LOST"; 
1292162188; "LOST"; 
1292162191; "LOST"; 
1292162195; "LOST"; 
1292162198; "LOST"; 
1292162201; "LOST"; 
1292162205; "LOST"; 
1292162208; "LOST"; 
1292162222; "LOST"; 
1292162225; "LOST"; 
1292162229; "LOST"; 
1292162232; "LOST"; 
1292162236; "LOST"; 
1292162240; "LOST"; 
1292162243; "LOST"; 
1292162246; "LOST"; 
1292162250; "LOST"; 
1292162253; "LOST"; 
1292162257; "LOST"; 
1292162260; "LOST"; 
1292162263; "LOST"; 
1292162267; "LOST"; 
1292162270; "LOST"; 
1292162273; "LOST"; 
1292162277; "LOST"; 
1292162280; "LOST"; 
1292162284; "LOST"; 
1292162287; "LOST"; 
